Year	Month	Date	Country	Area	Location	Type	Species	Number of victims	Age	Injury	Activity	Fatal (Y/N)	Sex	Season
2002	Dec	16-Dec-02	AUSTRALIA	Queensland	Miami Lake	Unprovoked	Bull shark	1.0	['23']	['FATAL']	['Swimming']	['Y']	['M']	Winter
2002	Dec	20-Dec-02	AUSTRALIA	Queensland	Golden Beach	Invalid	Shark involvement not confirmed, injury may be due to a stingray	1.0	['11']	['Foot lacerated']	['Swimming']	['N']	['M']	Winter
2002	Dec	21-Dec-02	AUSTRALIA	Queensland	Depth of 40 m on the wreck of the St. Paul off Brisbane	Unprovoked	Wobbegong shark, 1m	1.0	['26']	['Groin bitten']	['Scuba diving']	['N']	['M']	Winter
2002	Dec	24-Dec-02	SOUTH AFRICA	Western Cape Province	Scarborough	Unprovoked	White shark, 4 m white shark	1.0	['25']	['Forearms lacerated']	['Snorkeling']	['N']	['M']	Winter
2002	Dec	29-Dec-02	AUSTRALIA	Queensland	Great Barrier Reef  (near Upolu Bay)	Unprovoked	Reported to involve a hammerhead shark	1.0	['18']	['Left arm lacerated']	['Snorkeling']	['N']	['F']	Winter
2002	Feb	07-Feb-02	AUSTRALIA	New South Wales	Paramatta River (near Sydney)	Unprovoked	C. leucas tooth fragment recovered from kayak	1.0	['35']	['Stern of kayak bitten/chest bruised ']	['Kayaking']	['N']	['M']	Winter
2002	Feb	16-Feb-02	AUSTRALIA	Queensland	Sunshine Beach	Unprovoked	"1.5 m [5'] ""whaler shark"""	1.0	['30 or 36']	['Heel / foot bitten']	['Surfing']	['N']	['M']	Winter
2002	Jan	01-Jan-02	SOUTH AFRICA	KwaZulu-Natal	Mtunzini	Unprovoked	Unidentified	1.0	['26']	['Foot & calf bitten']	['Surf skiing']	['N']	['M']	Winter
2002	Jan	01-Jan-02	USA	Hawaii	Olowalu, Maui	Unprovoked	Tiger shark, 1.8 m [6'] 	1.0	['35']	['Lacerations to buttocks & thigh']	['Snorkeling']	['N']	['M']	Winter
2002	Jan	04-Jan-02	SOUTH AFRICA	KwaZulu-Natal	Durban Harbor	Unprovoked	Zambesi shark?	1.0	['16']	['Leg bitten & surgically amputated']	['Fishing']	['N']	['M']	Winter
2002	Jan	30-Jan-02	AUSTRALIA	New South Wales	Just north of Fingal Spit	Unprovoked	Tiger shark, 3 m [10']	1.0	['20']	['Bruises & minor cuts']	['Surfing']	['N']	['M']	Winter
2002	Jul	04-Jul-02	USA	North Carolina	Wrightsville Beach, New Hanover County	Unprovoked	1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark	1.0	['9']	['Calf, foot & hand bitten']	['Standing']	['N']	['F']	Summer
2002	Jul	09-Jul-02	USA	Maryland	100 miles off Ocean City, Maryland, in 7000' of water	Provoked	Mako shark, 400-lb 	1.0	['41']	['Drowned when caught in line and pulled overboard by hooked shark PROVOKED INCIDENT']	['Shark Fishing']	['Y']	['M']	Summer
2002	Jul	10-Jul-02	BRAZIL	Pernambuco	Piedade Beach, Recife	Unprovoked	Bull or tiger shark	1.0	['22']	['Right hand severed']	['Surfing']	['N']	['M']	Summer
2002	Jul	20-Jul-02	USA	North Carolina	Emerald Isle, Carteret County	Unprovoked	Bull shark, 1.8 m to 2.1 m [6' to 7'] 	5.0	['15']	['Calf bitten']	['Swimming']	['N']	['F']	Summer
2002	Jul	26-Jul-02	USA	South Carolina	Myrtle Beach, Horry County	Unprovoked	1.2 m [4'] blacktip or sandbar shark	1.0	['13']	['Heel bitten']	['Surfing']	['N']	['M']	Summer
2002	Jun	03-Jun-02	SOUTH AFRICA	KwaZulu-Natal between Port Edward and Port St Johns	Off Mkhambati 	Unprovoked	1.5 to 2.5 m [5' to 8.25'] copper shark	1.0	['50']	['Upper arm bitten']	['Snorkeling (filming the sardine run)']	['N']	['M']	Summer
2002	Jun	09-Jun-02	USA	Florida	South of Ponce Inlet, New Smyrna Beach, Volusia County	Unprovoked	� 	1.0	['50']	['6-inch gash on right foot']	['Surfing']	['N']	['M']	Summer
2002	Jun	10-Jun-02	USA	Florida	St Augustine Beach, St Johns County	Unprovoked	0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand	1.0	['28']	['Right hand lacerated']	['Surfing']	['N']	['M']	Summer
2002	Jun	11-Jun-02	USA	Hawaii	Anini Beach, Kaua'i	Unprovoked	Tiger shark, 2.4 m to 2.7 m [8' to 9']  	1.0	[nan]	['No injury, shark bit side of surfboard']	['Sitting on surfboard']	['N']	[nan]	Summer
2002	Mar	03-Mar-02	NEW CALEDONIA	Loyalty Islands	Lifou	Invalid	Shark involvement prior to death unconfired	1.0	['44']	['PRESUMED FATAL, body not recovered']	['Spearfishing']	['Y']	['M']	Spring
2002	Mar	15-Mar-02	USA	Florida	Deerfield Beach (near Boca Raton), Broward County	Unprovoked	Nurse shark, 1m 	1.0	['39']	['Arm bitten']	['Snorkeling']	['N']	['M']	Spring
2002	Mar	15-Mar-02	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Spinner shark, 3' to 4' 	2.0	['31']	['Several  puncture wounds on lower right leg']	['Surfing']	['N']	['M']	Spring
2002	Mar	19-Mar-02	USA	Florida	Daytona Beach Shores, Volusia County	Unprovoked	4' shark	1.0	['20']	['Punctures on left foot and foot ']	['Swimming /  boogie boarding']	['N']	['M']	Spring
2002	Mar	25-Mar-02	USA	Florida	Cocoa Beach, Brevard County	Unprovoked	� 	1.0	['11']	['Foot bitten']	['Wading']	['N']	['F']	Spring
2002	Mar	25-Mar-02	USA	Hawaii	Brenecke Beach, Po'ipu, Kaua'i	Unprovoked	Tiger shark	1.0	['17']	['Left leg severed below knee']	['Body-boarding']	['N']	['M']	Spring
2002	May	13-May-02	USA	Florida	Ten Thousand Islands National Wildlife Refuge, Collier County	Unprovoked	2.1 m to 2.4 m [7' to 8'] shark	2.0	['31']	['Laceration to arm.']	['Fishing']	['N']	['M']	Spring
2002	May	22-May-02	USA	Florida	a pier at the end of Caxambas Drive, Marco Island 	Provoked	3' blacktip shark	1.0	['55']	['Leg bitten by hooked shark PROVOKED INCIDENT']	['Fishing, removing the shark from his line']	['N']	['M']	Spring
2002	May	31-May-02	USA	California	Stinson Beach, Marin County	Unprovoked	3.7 m to 4.3 m [12' to 14'] white shark	1.0	['24']	['Lacerated leg & back']	['Surfing']	['N']	['M']	Spring
2002	May	31-May-02	USA	Florida	St. George Island (near Apachicola), Franklin County	Unprovoked	1 m  shark	1.0	['16']	['Lacerated foot']	['Floating on a raft']	['N']	['M']	Spring
2002	May	Reported 21-May-2002	COSTA RICA	Guanacaste	Playa Grande	Unprovoked	Bull shark, 1.8 m to 2.1 m [6' to 7'] 	1.0	[nan]	['Toothmarks in board & his swim trunks']	['Surfing']	['N']	['M']	Spring
2002	Nov	02-Nov-02	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	3' to 4' shark	1.0	['16']	['Puncture wounds on right foot']	['Boogie boarding']	['N']	['M']	Autumn
2002	Nov	11-Nov-02	USA	Florida	Ponce Inlet, New Smyrna Beach, Volusia County	Unprovoked	6' shark	1.0	['21']	['1.5-inch laceration']	['Surfing']	['N']	['M']	Autumn
2002	Nov	14-Nov-02	TURKS & CAICOS	Caicos Bank	French Cay	Unprovoked	1.8 m to 2.1 m [6' to 7']� Caribbean Reef Shark 	1.0	['41']	['Right upper am, shoulder & back severely  bitten']	['Snorkeling']	['N']	['F']	Autumn
2002	Nov	17-Nov-02	USA	Hawaii	Ka'anapali	Unprovoked	2.4 m to 3 m [8' to 10'] grey colored shark	1.0	['34']	['Right shoulder forarm & wrist bitten']	['Swimming']	['N']	['F']	Autumn
2002	Nov	28-Nov-02	MICRONESIA	Caroline Islands	Pision Reef, Truk	Unprovoked	Blacktip shark	1.0	[nan]	['Minor injury to right calf']	['Scuba diving']	['N']	['M']	Autumn
2002	Nov	28-Nov-02	USA	California	Salmon Creek, Sonoma County	Unprovoked	3 m to 4.5 m [10' to 15'] white shark	1.0	['48']	['Both legs severely lacerated']	['Body boarding']	['N']	['M']	Autumn
2002	Oct	03-Oct-02	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	3.5' to 4' shark	1.0	['18']	['Left hand lacerated and abraded']	['Surfing']	['N']	['M']	Autumn
2002	Oct	05-Oct-02	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	3.5' to 4.5' shark	1.0	['35']	['Heel & back of right knee lacerated']	['Surfing']	['N']	['M']	Autumn
2002	Oct	05-Oct-02	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Blacktip or spinner shark	1.0	['14']	['Abrasions on right hand & deep laceration on middle finger']	['Surfing']	['N']	['M']	Autumn
2002	Oct	14-Oct-02	BRAZIL	Pernambuco	Piedade Beach, Jaboat�o dos Guararapes City, Recife	Unprovoked	Possibly a bull shark or tiger shark	1.0	['36']	['FATAL, body not recovered']	['Swimming']	['Y']	['M']	Autumn
2002	Oct	30-Oct-02	USA	Hawaii	Kama'ole Beach Park I, Kihei, Maui	Unprovoked	A �small� shark	1.0	['60']	['Left foot bitten ']	['Swimming']	['N']	['F']	Autumn
2002	Sep	05-Sep-02	USA	Florida	Daytona Beach Shores, Volusia County	Provoked	1' to 2' hammerhead or bonnethed shark	1.0	['36']	['2 small puncture wounds on left foot PROVOKED INCIDENT']	['Wading, when he stepped on the shark']	['N']	['M']	Autumn
2002	Sep	09-Sep-02	USA	Florida	Ponce Inlet, New Smyrna Beach, Volusia County	Unprovoked	4' to 6' shark	1.0	['20']	['Bitten above & below right knee']	['Boogie boarding']	['N']	['M']	Autumn
2002	Sep	13-Sep-02	SOUTH AFRICA	Western Cape Province	Glencairn, False Bay	Unprovoked	White shark	1.0	['47']	['No injury']	['Surf skiing']	['N']	['M']	Autumn
2002	Sep	16-Sep-02	BRAZIL	Pernambuco	Piedade Beach, Jaboat�o dos Guararapes City	Unprovoked	Bull or tiger shark	1.0	['19']	['Left thigh bitten, leg surgically amputated']	['Swimming']	['N']	['M']	Autumn
2002	Sep	21-Sep-02	USA	California	Moonstone Beach, Humboldt County	Unprovoked	3 m to 3.7 m [10' to 12'] shark	1.0	['35']	['No injury']	['Surfing']	['N']	['M']	Autumn
2002	Sep	21-Sep-02	USA	Oregon	Cape Kiwanda	Unprovoked	2.4 m [8'] shark	1.0	['24']	[' Ankle lacerated']	['Boogie boarding or Surfing']	['N']	['M']	Autumn
2002	Sep	27-Sep-02	TONGA	Vava'u	Swimming with humpback whales	Provoked	Tiger shark, 1.5 m [5']k	1.0	[' ']	['Thigh lacerated  PROVOKED INCIDENT']	['Swimming']	['N']	['M']	Autumn
2002	Sep	27-Sep-02	USA	Florida	Key Largo, Monroe County	Provoked	1.8 m [6'] blacktip shark	1.0	['� ']	['Left thumb lacerated PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Autumn
2002	Sep	27-Sep-02	USA	Hawaii	Kahala, O'ahu	Unprovoked	1.2 m [4'] blacktip shark	1.0	['55']	['No injury, surfboard bitten ']	['Fishing from Surfboard']	['N']	['M']	Autumn
2002	Sep	30-Sep-02	USA	Florida	Ormond Beach, Volusia County	Unprovoked	4' to 5' shark	1.0	['47']	['Right hand severely lacerated']	['Surfing']	['N']	['M']	Autumn
2003	Apr	04-Apr-03	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	4' to 5' shark	1.0	['50']	['Left hand and wrist bitten']	['Surfing']	['N']	['M']	Spring
2003	Apr	11-Apr-03	VENEZUELA	Nueva Esparta	El Yaqu, Isla de Margarita	Unprovoked	Mako shark, 3 m [10']	1.0	['28']	['Right foot bitten, left leg severed']	['Surfing']	['N']	['M']	Spring
2003	Apr	15-Apr-03	USA	Florida	Cocoa Beach, Brevard County	Unprovoked	"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee"	1.0	['20']	['Left calf lacerated']	['Swimming (using a float)']	['N']	['M']	Spring
2003	Apr	18-Apr-03	USA	Florida	North Beach, Patrick AFB, Brevard County	Unprovoked	Unidentified species	1.0	['12']	['2 lacerations on left thigh']	['Surfing']	['N']	['M']	Spring
2003	Apr	19-Apr-03	USA	Florida	New Smyrna Beach, Volusia County  	Unprovoked	A �small� shark	1.0	['11']	['Left foot bitten']	['Jumping']	['N']	['M']	Spring
2003	Apr	20-Apr-03	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Unidentified species	1.0	['18']	['Left ankle bitten or right foot']	['Surfing']	['N']	['M']	Spring
2003	Apr	20-Apr-03	USA	Florida	Playalinda Beach, Brevard County	Unprovoked	Unidentified species	1.0	['30']	['Left foot bitten']	['Surfing']	['N']	['M']	Spring
2003	Apr	20-Apr-03	USA	Florida	Sunglow Pier, Daytona Beach Shores, Volusia County	Unprovoked	0.9 m to 1.2 m [3' to 4'] shark	1.0	['23']	['Small lacerations to foot']	['Surfing']	['N']	['M']	Spring
2003	Apr	21-Apr-03	USA	Florida	Melbourne Beach, Brevard County 	Unprovoked	Unidentified species	1.0	['36']	['Right leg bitten']	['Surfing']	['N']	['M']	Spring
2003	Apr	21-Apr-03	USA	Florida	Shepard Park, Cocoa Beach, Brevard County 	Unprovoked	Unidentified species	1.0	['17']	['Survived']	['Surfing']	['N']	['M']	Spring
2003	Apr	23-Apr-03	BRAZIL	Pernambuco	Pau Amarelo Beach, Paulista District (17 km from Recife)	Unprovoked	Bull shark	1.0	['17']	['Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation']	['Surfing']	['N']	['M']	Spring
2003	Aug	08-Aug-03	SOUTH AFRICA	Eastern Cape Province	Jeffrey�s Bay	Unprovoked	3.5 m [11.5'] white shark	1.0	['16']	['No injury, wetsuit torn & board bitten']	['Sitting on surfboard']	['N']	['M']	Summer
2003	Aug	12-Aug-03	USA	California	Venice Beach, Los Angeles County	Invalid	Shark involvement not confirmed	1.0	['31']	['Left ankle lacerated']	['Swimming']	['N']	['M']	Summer
2003	Aug	19-Aug-03	USA	California	Avila Beach, San Luis Obispo County	Unprovoked	4.5 m to 5.5 m [15' to 18'] white shark	1.0	['50']	['FATAL          Hip & upper thigh bitten, femoral artery severed ']	['Swimming, wearing black wetsuit & swim fins']	['Y']	['F']	Summer
2003	Aug	29-Aug-03	USA	Texas	1.5 miles off Surfside 	Provoked	1.2 m [4'] bull shark	1.0	[nan]	['PROVOKED INCIDENT Hooked shark pulled onboard bit his arm  ']	['Fishing']	['N']	['M']	Summer
2003	Dec	26-Dec-03	USA	Florida	Miami, Dade County	Invalid	Questionable Incident	1.0	['28']	['Knee lacerated']	['Swimming']	['N']	['M']	Winter
2003	Dec	31-Dec-03	SOUTH AFRICA	KwaZulu-Natal	Salt Rock 	Boat	Shortfin mako shark	1.0	[nan]	['No injury to occupants']	[nan]	['N']	[nan]	Winter
2003	Feb	08-Feb-03	AUSTRALIA	Queensland	Burleigh Lake on the Gold Coast	Unprovoked	Thought to involve a >2 m [6.75'] bull shark	1.0	['84']	['FATAL']	['Swimming']	['Y']	['M']	Winter
2003	Feb	11-Feb-03	AUSTRALIA	New South Wales	Coogee Bay, near Sydney	Unprovoked	Thought to involve a 2 m [6.75'] grey nurse shark	1.0	['24']	['Puncture wounds on heel, legs and buttocks']	['Swimming']	['N']	['M']	Winter
2003	Feb	15-Feb-03	AUSTRALIA	South Australia	Goolwa Beach, Fleurieu Peninsula	Unprovoked	"""a small shark"""	1.0	['37']	['Ankle lacerated']	['Wading']	['N']	['M']	Winter
2003	Feb	15-Feb-03	USA	Florida	Jupiter, Palm Beach County	Unprovoked	Species unidentified	1.0	['54']	['Left hand bitten']	['Swimming']	['N']	['M']	Winter
2003	Feb	27-Feb-03	NEW ZEALAND	Southland	East side of Bench Island in the Foveaux Strait	Unprovoked	2.5 m [8.25'] white shark	1.0	['44']	['Arm lacerated (shark made 3 strikes)']	['Scuba diving']	['N']	['M']	Winter
2003	Jan	02-Jan-03	AUSTRALIA	Western Australia	Left break at the �Hot Spot� at Sheringa Beach	Unprovoked	Bronze whaler shark, 2.5 m [8.25'] 	1.0	[nan]	['No injury, but her surfboard was bitten']	['Surfing']	['N']	['F']	Winter
2003	Jan	03-Jan-03	COSTA RICA	North Pacific coast	Playa Tamarindo 	Unprovoked	Bull shark, 7'	1.0	[nan]	['Lower right leg lacerated']	['Surfing']	['N']	['M']	Winter
2003	Jul	04-Jul-03	BAHAMAS	Abaco Islands	10 miles west of Walker�s Cay	Unprovoked	2.1 m  [7'] bull shark	1.0	['39']	['Left calf bitten']	['Spearfishing']	['N']	['M']	Summer
2003	Jul	05-Jul-03	USA	Florida	Canova Beach, Brevard County	Unprovoked	1.5 m to 1.8 m [5' to 6'] shark	1.0	['21']	['Left foot bitten']	['Surfing']	['N']	['M']	Summer
2003	Jul	05-Jul-03	USA	Florida	Near New Smyrna Jetty, Volusia County	Provoked	2' shark	1.0	['10']	['3 puncture wounds on right lateral ankle PROVOKED INCIDENT']	['Walking, carrying surfboard & stepped on shark']	['N']	['M']	Summer
2003	Jul	10-Jul-03	BAHAMAS	Abaco Islands	Bakers Bay	Unprovoked	Unidentified species	1.0	['58']	['Right thigh bitten']	['Spearfishing']	['N']	['M']	Summer
2003	Jul	Jul-03	NEW ZEALAND	Cook Islands	Beveridge Reef	Unprovoked	Grey reef shark	1.0	[nan]	['Chest & buttocks  bitten']	['Snorkeling']	['N']	['M']	Summer
2003	Jul	Jul-03	USA	Florida	Fort Lauderdale, Broward County	Unprovoked	8' great hammerhead shark	1.0	[nan]	['Laceration to toe']	['Spearfishing']	['N']	['M']	Summer
2003	Jun	19-Jun-03	USA	North Carolina	Masonboro Island, New Hanover County	Unprovoked	"""sand shark"""	1.0	['33']	['Hand bitten ']	['Surfing ']	['N']	['M']	Summer
2003	Jun	24-Jun-03	USA	Florida	Cocoa Beach, Brevard County	Unprovoked	�small brown shark�	1.0	['12']	['2 lacerations to the thigh']	['Standing']	['N']	['F']	Summer
2003	Jun	24-Jun-03	USA	Hawaii	Makua Beach, Oahu	Unprovoked	3.7 m to 4.3 m [12' to 14'] shark	1.0	['60']	['Right foot bitten']	['Swimming with pod of dolphins']	['N']	['M']	Summer
2003	Jun	26-Jun-03	USA	Florida	St Augustine Beach. St. Johns County	Unprovoked	106 cm [3.5']  shark	1.0	['15']	['Ankle lacerated']	['Surfing']	['N']	['M']	Summer
2003	Jun	30-Jun-03	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Unidentified species	1.0	['17']	['Right foot & toes lacerated']	['Surfing']	['N']	['M']	Summer
2003	Jun	Jun-03	USA	South Carolina	Pawleys Island, Georgetown County	Invalid	Shark involvement not confirmed	1.0	['22']	['Foot lacerated']	['Swimming']	['N']	['F']	Summer
2003	Mar	10-Mar-03	USA	Florida	Petting Tank, Florida Aquarium, Tampa, Hillsborough County	Provoked	60 cm [2'] captive shark	1.0	[nan]	['Hand nipped PROVOKED INCIDENT']	['Petting captive sharks']	['N']	['F']	Spring
2003	May	07-May-03	USA	Florida	New Smyrna Beach, Volusia County	Provoked	4' to 5' shark	1.0	['34']	['Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT']	['Surfing']	['N']	['M']	Spring
2003	May	10-May-03	USA	Hawaii	Between Magic Sands Beach and Kahaluu Beach on the Kona coast	Unprovoked	1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark	1.0	['20']	['Right calf & heel bitten']	['Swimming']	['N']	['M']	Spring
2003	May	14-May-03	USA	Florida	Ponce de Leon Inlet, Volusia County 	Unprovoked	3' to 5' shark	3.0	['22']	['Left foot bitten']	['Wading']	['N']	['M']	Spring
2003	May	May-03	PHILIPPINES	Baatan	Limay	Unprovoked	White shark	1.0	[nan]	['Arm severed']	[nan]	['N']	[nan]	Spring
2003	Nov	06-Nov-03	EGYPT	Sinai Peninsula	Sha�ab Mahmud, Ras Mohamed Park	Unprovoked	2.5 oceanic whitetip shark	1.0	[nan]	['Hand/elbow injured']	['Snorkeling']	['N']	['M']	Autumn
2003	Nov	06-Nov-03	SOUTH AFRICA	KwaZulu-Natal	Karridene	Unprovoked	White shark	1.0	[nan]	['No injury to occupants, hull of ski bitten']	['Surf skiing']	['N']	[nan]	Autumn
2003	Nov	12-Nov-03	INDIA	Tamilnadu	Mahabalipuram beach, 37 km south of Chennai	Unprovoked	Tiger shark?	1.0	['35']	['Left index finger lacerated']	['Swimming or surfing']	['N']	['M']	Autumn
2003	Nov	22-Nov-03	USA	Florida	Daytona Beach, Volusia County	Unprovoked	4' shark	1.0	['35']	['Severe abrasion to left lateral calf']	['Surfing']	['N']	['F']	Autumn
2003	Nov	27-Nov-03	SOUTH AFRICA	KwaZulu-Natal	Sodwana	Unprovoked	Tiger shark, 4 m [13']  ?	1.0	['21']	['Presumed FATAL, severed hand recovered']	['Spearfishing']	['Y']	['M']	Autumn
2003	Nov	30-Nov-03	AUSTRALIA	Western Australia	Perth? (Margaret River District)	Unprovoked	Wobbegong shark, 1.2 m [4'] 	1.0	[nan]	"[""After biting Halverson, it bit Scott's thigh""]"	['Swimming']	['N']	['M']	Autumn
2003	Nov	30-Nov-03	AUSTRALIA	Western Australia	Perth? (Margaret River District)	Unprovoked	Wobbegong shark, 1.2 m [4'] 	2.0	[nan]	['Hand & foot bitten']	['Swimming']	['N']	['M']	Autumn
2003	Oct	05-Oct-03	USA	Hawaii	Cove Beach / Kalama Beach, Kihei, Maui	Unprovoked	"1.2 m [4'] ""grey-colored shark"""	1.0	['41']	['Left thigh abraded, right knee and right index finger injured']	['Wading near a fishing net']	['N']	['F']	Autumn
2003	Oct	14-Oct-03	USA	Florida	Near Patrick Air Force Base Brevard County	Unprovoked	1.2 m [4'] shark	1.0	['19']	['Foot bitten']	['Surfing']	['N']	['M']	Autumn
2003	Oct	24-Oct-03	USA	Hawaii	Honolua Bay	Invalid	Shark involvement not confirmed	1.0	['56']	['Left forearm lacerated']	['Snorkeling']	['N']	['M']	Autumn
2003	Oct	31-Oct-03	AUSTRALIA	New South Wales	Lighthouse Beach, Seal Rocks	Unprovoked	1.5 m [5'] shark, either a bronze whaler or a grey nurse shark	1.0	['22']	['Left ankle & foot lacerated']	['Surfing']	['N']	['M']	Autumn
2003	Oct	31-Oct-03	USA	Florida	Ponte Vedra Beach, St. Johns County	Unprovoked	1.2 m to 1.5 m [4' to 5'] shark	1.0	['18']	['Left foot (sole) bitten']	['Surfing']	['N']	['M']	Autumn
2003	Oct	31-Oct-03	USA	Hawaii	Tunnels surf break off Makua Beach, Kaua'i	Unprovoked	Tiger shark, 14' 	1.0	['13']	['Left arm severed below shoulder']	['Surfing']	['N']	['F']	Autumn
2003	Sep	12-Sep-03	SOUTH AFRICA	Western Cape Province	Near the wreck of the Kakapo off Noordhoek Beach	Unprovoked	White shark	1.0	['19']	['FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ']	['Body boarding']	['Y']	['M']	Autumn
2003	Sep	13-Sep-03	USA	Florida	Daytona Beach, Volusia County 	Unprovoked	6' shark	1.0	['18']	['Left calf avulsion']	['Body boarding']	['N']	['M']	Autumn
2003	Sep	13-Sep-03	USA	South Carolina	Isle of Palms, Charleston County	Unprovoked	7' shark	1.0	['15']	['Ankle lacerated']	['Standing, stepped on shark']	['N']	['M']	Autumn
2003	Sep	14-Sep-03	SOUTH AFRICA	Western Cape Province	Melkbosstrand	Boat	2 m cow shark	1.0	['36 & 26']	['No injury to occupants, shark bit boat']	['Fishing ']	['N']	[nan]	Autumn
2003	Sep	14-Sep-03	USA	Florida	Bathtub Reef Beach, Martin County	Invalid	Shark involvement doubtful	2.0	['8 or 10']	['Puncture wounds on inner thigh']	['Swimming']	['N']	['F']	Autumn
2003	Sep	14-Sep-03	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	3' shark	1.0	['30']	['Left foot: lacerations on heel and sole']	['Surfing']	['N']	['M']	Autumn
2004	Apr	05-Apr-04	SOUTH AFRICA	Western Cape Province	Surfers' Corner, Muizenberg, False Bay	Unprovoked	5 m [16.5'] white shark	1.0	['16']	['Left leg lacerated, right leg severed above the knee ']	['Surfing']	['N']	['M']	Spring
2004	Apr	07-Apr-04	USA	Hawaii	Kahana Beach, Maui	Unprovoked	Tiger shark	1.0	['57']	['FATAL Severe wound to right thigh & calf']	['Surfing']	['Y']	['M']	Spring
2004	Apr	13-Apr-04	 TONGA	Nuku'alofa	30 nautical miles offshore	Unprovoked	small sharks	1.0	[nan]	['Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water']	['Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water']	['Y']	['M']	Spring
